David O'Regan,"Dear tech companies, 

Employees don't need ping pong tables or beer fridges at work. 🙅‍♂️🙅‍♀️

Employees need flex… https://t.co/OTBekQV21o",30916
David O'Regan,"Dear tech companies, 

Employees don't need ping pong tables or beer fridges at work. 🙅‍♂️🙅‍♀️

Employees need flex… https://t.co/OTBekQV21o",30916
RiKe Beeh | Billan,"Apple's \"Blue\" vs. \"Green\" text decision is one of the most amazing tech decisions ever. They straight up convinced… https://t.co/jtzU6Dl531",24216
Eva🦋,"Nouveau business en vue.

5% de batterie = 2€
10% de batterie = 4€ 
20%de batterie= 7€

Ça ne servira a rien de me… https://t.co/oyg2HMKBY1",14820
ArAGoG 🕷,"Nouveau business en vue.

5% de batterie = 2€
10% de batterie = 4€ 
20%de batterie= 7€

Ça ne servira a rien de me… https://t.co/oyg2HMKBY1",14818
zetsūbo,"Nouveau business en vue.

5% de batterie = 2€
10% de batterie = 4€ 
20%de batterie= 7€

Ça ne servira a rien de me… https://t.co/oyg2HMKBY1",14817
bitch slay,"Nouveau business en vue.

5% de batterie = 2€
10% de batterie = 4€ 
20%de batterie= 7€

Ça ne servira a rien de me… https://t.co/oyg2HMKBY1",14816
Clara 🌹,"Nouveau business en vue.

5% de batterie = 2€
10% de batterie = 4€ 
20%de batterie= 7€

Ça ne servira a rien de me… https://t.co/oyg2HMKBY1",14815
denzel only,"Nouveau business en vue.

5% de batterie = 2€
10% de batterie = 4€ 
20%de batterie= 7€

Ça ne servira a rien de me… https://t.co/oyg2HMKBY1",14814
𝓜𝓲𝓻𝓪,"Nouveau business en vue.

5% de batterie = 2€
10% de batterie = 4€ 
20%de batterie= 7€

Ça ne servira a rien de me… https://t.co/oyg2HMKBY1",14813
